seqid	source	type	start	end	score	strand	phase	ID	Parent
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C1N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C3N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C5N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C7N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C8N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C10N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C11N2	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C1N9	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C8N9	AGAP004707
2L	Davies et al. (2007)	mRNA	2358158	2431617	.	+	.	Davies-C1N9ck	AGAP004707
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C1N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C1N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C3N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C3N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C5N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C5N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C7N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C7N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C8N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C8N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C10N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C10N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C11N2
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C11N2
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C1N9
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C1N9
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C8N9
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C8N9
2L	Davies et al. (2007)	exon	2358158	2358304	.	+	.	1	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2358158	2358304	.	+	0	1	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2359640	2359672	.	+	.	2j	Davies-C8N2
2L	Davies et al. (2007)	CDS	2359640	2359672	.	+	0	2j	Davies-C8N2
2L	Davies et al. (2007)	exon	2359640	2359672	.	+	.	2j	Davies-C8N9
2L	Davies et al. (2007)	CDS	2359640	2359672	.	+	0	2j	Davies-C8N9
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C1N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C1N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C3N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C3N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C5N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C5N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C7N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C7N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C8N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C8N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C10N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C10N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C11N2
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C11N2
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C1N9
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C1N9
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C8N9
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C8N9
2L	Davies et al. (2007)	exon	2361989	2362144	.	+	.	3	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2361989	2362144	.	+	0	3	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C1N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C1N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C3N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C3N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C5N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C5N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C7N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C7N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C8N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C8N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C10N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C10N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C11N2
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C11N2
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C1N9
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C1N9
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C8N9
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C8N9
2L	Davies et al. (2007)	exon	2381065	2381270	.	+	.	4	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2381065	2381270	.	+	0	4	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C1N2
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C1N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C5N2
